epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.12748,1.1868,4.30106,1.08607,0,0,0,0,0,686,0,0.00012,0.00012,0.00012
2,3.57063,1.05802,1.75918,0.98603,0,0,0,0,0,994,0,0.000254852,0.000254852,0.000254852
3,5.04128,1.04526,1.29857,1.02253,0,0,0,0,0,718,0,0.00038416,0.00038416,0.00038416
4,6.48686,1.05767,1.02814,1.03278,0,0,0,0,0,1055,0,0.000507924,0.000507924,0.000507924
5,7.93196,1.07551,0.94812,1.05387,0,0,0,0,0,10224,0,0.000626144,0.000626144,0.000626144
6,9.36457,1.04741,0.79916,0.9986,0,0,0,0,0,1105,0,0.00073882,0.00073882,0.00073882
7,10.8413,1.05196,0.72896,1.03752,0,0,0,0,0,405,0,0.000845952,0.000845952,0.000845952
8,12.2261,1.04563,0.66318,1.02249,0,0,0,0,0,198.25,0,0.00094754,0.00094754,0.00094754
9,13.6219,1.08215,0.65712,1.04043,0,0,0,0,0,214.75,0,0.00104358,0.00104358,0.00104358
10,15.0277,1.08651,0.62159,1.02254,0,0,0,0,0,188,0,0.00113408,0.00113408,0.00113408
11,16.4232,1.08906,0.6224,1.04815,0,0,0,0,0,183.75,0,0.00121904,0.00121904,0.00121904
12,17.8405,1.06813,0.65601,0.99885,0,0,0,0,0,329,0,0.00129845,0.00129845,0.00129845
13,19.2357,1.11343,0.6212,1.04596,0,0,0,0,0,346,0,0.00137232,0.00137232,0.00137232
14,20.632,0.98858,0.57008,0.98836,0,0,0,0,0,263.5,0,0.00144064,0.00144064,0.00144064
15,22.015,1.068,0.6255,1.01006,0,0,0,0,0,244.375,0,0.0014456,0.0014456,0.0014456
16,23.3927,1.04571,0.60318,0.99263,0,0,0,0,0,303.5,0,0.001406,0.001406,0.001406
17,24.7909,1.01203,0.57737,0.98842,0,0,0,0,0,375.75,0,0.0013664,0.0013664,0.0013664
18,26.2169,0.98181,0.56189,0.99169,0,0,0,0,0,350.5,0,0.0013268,0.0013268,0.0013268
19,27.5957,1.01592,0.55473,1.00798,0,0,0,0,0,314.25,0,0.0012872,0.0012872,0.0012872
20,28.9688,0.98461,0.5384,1.00246,0,0,0,0,0,258.75,0,0.0012476,0.0012476,0.0012476
21,30.375,0.93763,0.51107,0.95931,0,0,0,0,0,333.75,0,0.001208,0.001208,0.001208
22,31.7932,0.97582,0.52702,0.98304,0,0,0,0,0,297.75,0,0.0011684,0.0011684,0.0011684
23,33.1935,0.90634,0.51915,0.96852,0,0,0,0,0,453.25,0,0.0011288,0.0011288,0.0011288
24,34.5922,0.92639,0.52934,0.94255,0,0,0,0,0,343,0,0.0010892,0.0010892,0.0010892
