epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.9627,1.07144,4.30453,1.51032,0.35507,0.71429,0.4606,0.25776,1.26119,4.30481,1.74017,0,0,0
2,3.92536,1.17652,4.4553,1.51102,0.40236,0.71429,0.4689,0.27165,1.25035,4.27416,1.73895,1.9604e-05,1.9604e-05,1.9604e-05
3,4.61583,1.1701,4.0661,1.5909,0.41497,0.71429,0.4889,0.27526,1.22725,4.26856,1.716,3.8416e-05,3.8416e-05,3.8416e-05
4,5.20294,1.17345,4.2112,1.60663,0.45501,0.71429,0.52168,0.29482,1.20466,4.14779,1.70258,5.6436e-05,5.6436e-05,5.6436e-05
5,5.79116,1.2882,4.5283,1.75351,0.4815,0.71429,0.53122,0.30159,1.18367,4.11735,1.7081,7.3664e-05,7.3664e-05,7.3664e-05
6,6.36815,1.28371,4.55391,1.5485,0.44785,0.71429,0.53167,0.30463,1.16571,4.10724,1.68229,9.01e-05,9.01e-05,9.01e-05
7,6.97166,1.00511,3.97362,1.368,0.39714,0.71429,0.50415,0.29806,1.13763,4.12002,1.6684,0.000105744,0.000105744,0.000105744
8,7.56916,1.05977,3.83214,1.43846,0.98543,1,0.995,0.77872,0.62495,6.09242,1.18842,0.000120596,0.000120596,0.000120596
9,8.367,0.57999,1.72116,1.17148,1,0.99038,0.995,0.8188,0.52036,5.70449,1.11962,0.000134656,0.000134656,0.000134656
10,9.19534,0.61633,1.51229,1.11509,0.95469,1,0.995,0.88366,0.44819,3.84506,1.08305,0.000147924,0.000147924,0.000147924
11,10.0473,0.4637,1.11312,1.07487,0.95685,1,0.995,0.89458,0.44712,3.6686,1.07888,0.0001604,0.0001604,0.0001604
12,10.8683,0.53454,1.12093,1.02832,0.98526,1,0.995,0.84986,0.43688,2.77849,1.06909,0.000172084,0.000172084,0.000172084
13,11.6429,0.62063,1.03753,1.10884,0.99036,1,0.995,0.87299,0.44358,2.50275,1.08688,0.000182976,0.000182976,0.000182976
14,12.4314,0.55811,0.94577,1.00128,0.97794,1,0.995,0.85679,0.47847,2.26319,1.13068,0.000193076,0.000193076,0.000193076
15,13.2122,0.64102,1.10556,1.15328,0.9538,1,0.995,0.85849,0.47072,2.57294,1.13444,0.000202384,0.000202384,0.000202384
16,13.986,0.55854,0.85309,0.99148,0.87342,1,0.995,0.87789,0.47217,2.53118,1.14543,0.0002109,0.0002109,0.0002109
17,14.7682,0.52484,0.92535,1.01324,0.86995,1,0.995,0.86808,0.46077,2.15428,1.15245,0.000218624,0.000218624,0.000218624
18,15.5212,0.51094,0.89356,1.03481,0.86995,1,0.995,0.86808,0.46077,2.15428,1.15245,0.000225556,0.000225556,0.000225556
19,16.2794,0.50284,0.75257,0.9722,0.86962,1,0.9775,0.87831,0.44308,1.73054,1.1343,0.000231696,0.000231696,0.000231696
20,17.0327,0.49202,0.84755,1.04923,0.86962,1,0.9775,0.87831,0.44308,1.73054,1.1343,0.000237044,0.000237044,0.000237044
21,17.8213,0.52923,0.7914,1.0508,0.86528,1,0.9775,0.87451,0.44163,1.24226,1.11885,0.0002416,0.0002416,0.0002416
22,18.5587,0.43299,0.77433,1.02654,0.86528,1,0.9775,0.87451,0.44163,1.24226,1.11885,0.000245364,0.000245364,0.000245364
23,19.3558,0.46339,0.66533,1.04678,1,0.99563,0.995,0.90179,0.43798,1.26756,1.11197,0.000248336,0.000248336,0.000248336
24,20.2023,0.5255,0.8334,1.06127,1,0.99563,0.995,0.90179,0.43798,1.26756,1.11197,0.000250516,0.000250516,0.000250516
25,21.0818,0.60892,0.86284,1.10922,1,0.99007,0.995,0.93004,0.42304,1.3559,1.06736,0.000251904,0.000251904,0.000251904
