epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.93365,1.48451,3.36745,1.356,0,0,0,0,0,1160,0,0.00012861,0.00012861,0.00012861
2,4.9279,1.28567,1.26877,1.20602,0,0,0,0,0,1775,0,0.000266134,0.000266134,0.000266134
3,6.97555,1.20985,0.9676,1.13757,0,0,0,0,0,1352,0,0.000397999,0.000397999,0.000397999
4,8.99277,1.23647,0.93416,1.17276,0,0,0,0,0,1334,0,0.000524206,0.000524206,0.000524206
5,11.0298,1.24475,0.92434,1.16184,0,0,0,0,0,1171,0,0.000644753,0.000644753,0.000644753
6,13.0516,1.17527,0.81087,1.1413,0,0,0,0,0,993.5,0,0.000759642,0.000759642,0.000759642
7,15.0374,1.23518,0.81394,1.16961,0,0,0,0,0,898,0,0.000868872,0.000868872,0.000868872
8,17.0549,1.17305,0.79776,1.15802,0,0,0,0,0,695.5,0,0.000972443,0.000972443,0.000972443
9,19.0722,1.22729,0.75426,1.16019,0,0,0,0,0,1123,0,0.00107036,0.00107036,0.00107036
10,21.0856,1.19914,0.7854,1.1697,0,0,0,0,0,1013,0,0.00116261,0.00116261,0.00116261
11,23.0801,1.17087,0.72764,1.1703,0,0,0,0,0,826.5,0,0.00114606,0.00114606,0.00114606
12,25.0833,1.12768,0.684,1.12964,0,0,0,0,0,651,0,0.00111776,0.00111776,0.00111776
13,27.0673,1.13733,0.70344,1.12845,0,0,0,0,0,880.5,0,0.00108947,0.00108947,0.00108947
14,29.0649,1.12055,0.65941,1.12644,0,0,0,0,0,612.5,0,0.00106118,0.00106118,0.00106118
15,31.0374,1.13037,0.66476,1.1282,0,0,0,0,0,595,0,0.00103288,0.00103288,0.00103288
16,33.0248,1.1162,0.62662,1.11701,0,0,0,0,0,687,0,0.00100459,0.00100459,0.00100459
17,34.9852,1.1139,0.63015,1.09314,0,0,0,0,0,772,0,0.000976293,0.000976293,0.000976293
18,36.9837,1.11073,0.61532,1.10875,0,0,0,0,0,561.5,0,0.000947999,0.000947999,0.000947999
19,38.9549,1.07737,0.61585,1.07794,0,0,0,0,0,648.5,0,0.000919704,0.000919704,0.000919704
20,40.9538,1.04612,0.60483,1.06965,0,0,0,0,0,698.5,0,0.00089141,0.00089141,0.00089141
21,42.9489,1.02928,0.59904,1.07089,0,0,0,0,0,658,0,0.000863116,0.000863116,0.000863116
22,44.9534,1.04775,0.58436,1.06714,0,0,0,0,0,701,0,0.000834822,0.000834822,0.000834822
23,46.9421,1.04691,0.59372,1.09309,0,0,0,0,0,695.5,0,0.000806528,0.000806528,0.000806528
24,48.9695,0.99182,0.56445,1.0702,0,0,0,0,0,671,0,0.000778233,0.000778233,0.000778233
25,50.9614,1.04167,0.56546,1.07756,0,0,0,0,0,689.5,0,0.000749939,0.000749939,0.000749939
26,52.9743,1.03382,0.57994,1.07338,0,0,0,0,0,535.5,0,0.000721645,0.000721645,0.000721645
27,54.9879,1.02309,0.55786,1.08002,0,0,0,0,0,644.5,0,0.000693351,0.000693351,0.000693351
28,56.9894,0.96609,0.53924,1.06115,0,0,0,0,0,630.5,0,0.000665057,0.000665057,0.000665057
29,58.9912,0.97229,0.53574,1.04484,0,0,0,0,0,606.5,0,0.000636762,0.000636762,0.000636762
30,61.0062,0.97038,0.53362,1.03741,0,0,0,0,0,559.5,0,0.000608468,0.000608468,0.000608468
31,62.9848,0.97495,0.53484,1.05308,0,0,0,0,0,616,0,0.000580174,0.000580174,0.000580174
32,64.9838,0.96506,0.51983,1.03337,0,0,0,0,0,586.5,0,0.00055188,0.00055188,0.00055188
33,66.9746,0.94321,0.50624,1.05402,0,0,0,0,0,590,0,0.000523586,0.000523586,0.000523586
34,68.9958,0.95635,0.49856,1.03678,0,0,0,0,0,574.5,0,0.000495291,0.000495291,0.000495291
35,71.0178,0.93417,0.50663,1.02416,0,0,0,0,0,586,0,0.000466997,0.000466997,0.000466997
36,73.0304,0.92679,0.4875,1.02488,0,0,0,0,0,590,0,0.000438703,0.000438703,0.000438703
37,75.0232,0.89354,0.48309,1.03023,0,0,0,0,0,624,0,0.000410409,0.000410409,0.000410409
38,77.031,0.89715,0.49166,1.00601,0,0,0,0,0,619.5,0,0.000382115,0.000382115,0.000382115
39,79.0269,0.8879,0.4774,1.00958,0,0,0,0,0,621,0,0.00035382,0.00035382,0.00035382
40,81.0437,0.86171,0.46509,0.99557,0,0,0,0,0,650.5,0,0.000325526,0.000325526,0.000325526
41,83.5507,0.89204,0.46135,1.03424,0,0,0,0,0,611.5,0,0.000297232,0.000297232,0.000297232
42,85.5441,0.8761,0.46116,1.02756,0,0,0,0,0,586,0,0.000268938,0.000268938,0.000268938
43,87.4902,0.86104,0.45523,1.01185,0,0,0,0,0,627.5,0,0.000240644,0.000240644,0.000240644
44,89.4696,0.83831,0.44331,0.992,0,0,0,0,0,654,0,0.000212349,0.000212349,0.000212349
45,91.4239,0.78967,0.42633,0.9821,0,0,0,0,0,658.5,0,0.000184055,0.000184055,0.000184055
46,93.3944,0.85517,0.43413,0.99687,0,0,0,0,0,661.5,0,0.000155761,0.000155761,0.000155761
47,95.3569,0.80289,0.42811,0.97786,0,0,0,0,0,664,0,0.000127467,0.000127467,0.000127467
48,97.3898,0.8047,0.41418,0.98654,0,0,0,0,0,689,0,9.91726e-05,9.91726e-05,9.91726e-05
49,99.3895,0.7587,0.40522,0.96819,0,0,0,0,0,692.5,0,7.08784e-05,7.08784e-05,7.08784e-05
50,101.378,0.7924,0.41922,0.96785,0,0,0,0,0,682.5,0,4.25842e-05,4.25842e-05,4.25842e-05
